"Rk","Gtm","Date","X","Opp","Rslt","IP","H","R","ER","UER","BB","SO","HR","HBP","ERA","BF","Pit","Str","IR","IS","SB","CS","AB","X2B","X3B","IBB","SH","SF","ROE","GDP","X.","Umpire","Pitchers.Used..Rest.GameScore.Dec.","Team","Year"
"1","1","Apr 6","@","BAL","L,5-10","8.0","14","10","10","0","8","2","1","0","11.25","42","163","90","7","2","1","1","33","3","1","1","0","1","0","2","5","Randy Marsh","C.Sabathia (99-18-L), J.Albaladejo (99), P.Coke (99), B.Bruney (99), D.Marte (99)","NYY",2009
"2","2","Apr 8","@","BAL","L,5-7","8.0","9","7","7","0","6","2","1","0","9.56","37","131","71","0","0","0","2","30","4","0","0","0","1","0","0","4","Lance Barksdale","C.Wang (99-12-L), E.Ramirez (99), J.Albaladejo (1), J.Veras (99)","NYY",2009
"3","3","Apr 9","@","BAL","W,11-2","9.0","7","2","2","0","1","12","1","0","6.84","34","145","90","1","0","2","1","33","1","0","0","0","0","0","0","5","Mike Winters","A.Burnett (99-51-W), P.Coke (2), J.Veras (0), B.Bruney (2), M.Rivera (99)","NYY",2009
"4","4","Apr 10","@","KCR","W,4-1","9.0","4","1","1","0","1","10","0","0","5.29","32","129","85","0","0","0","0","31","2","0","0","0","0","0","0","3","Rob Drake","A.Pettitte (99-72-W), B.Bruney (0-H), M.Rivera (0-Sv)","NYY",2009
"5","5","Apr 11","@","KCR","W,6-1","9.0","7","1","1","0","1","7","0","2","4.40","36","130","85","0","0","0","0","33","1","0","0","0","0","1","2","2","Jeff Kellogg","C.Sabathia (4-73-W), J.Veras (1)","NYY",2009
"6","6","Apr 12","@","KCR","L,4-6","8.0","7","6","4","2","2","7","1","2","4.41","36","131","82","1","1","0","0","32","3","1","0","0","0","1","0","5","Mark Wegner","J.Chamberlain (99-60), B.Bruney (1-H), D.Marte (5-H), J.Veras (0), P.Coke (2-BL)","NYY",2009
"7","7","Apr 13","@","TBR","L,5-15","8.0","17","15","12","3","8","7","3","1","5.64","50","232","129","5","4","4","0","41","4","0","0","0","0","1","0","5","Tony Randazzo","C.Wang (4-7-L), J.Albaladejo (4), E.Ramirez (4), P.Coke (0), N.Swisher (99)","NYY",2009
"8","8","Apr 14","@","TBR","W,7-2","9.0","3","2","2","0","1","12","0","0","5.16","30","113","76","0","0","0","0","28","0","0","0","0","1","0","0","2","Chris Guccione","A.Burnett (4-76-W), B.Bruney (1)","NYY",2009
"9","9","Apr 15","@","TBR","W,4-3","9.0","6","3","3","0","1","6","1","0","4.91","32","112","74","0","0","0","1","31","3","0","0","0","0","0","0","3","Ed Montague","A.Pettitte (4-57), B.Bruney (0-W), M.Rivera (4-Sv)","NYY",2009
"10","10","Apr 16","","CLE","L,2-10","9.0","13","10","10","0","7","7","2","1","5.44","48","191","112","5","1","0","1","39","5","0","0","1","0","1","0","6","Tom Hallion","C.Sabathia (4-54), E.Ramirez (2), P.Coke (2), J.Veras (3-L), D.Marte (3), D.Robertson (99)","NYY",2009
